timestamp,fridge,ac,lights,microwave,total_power
2023-01-01 00:00:00,96,0,62,0,158.0
2023-01-01 01:00:00,134,1925,46,0,2105.0
2023-01-01 02:00:00,51,2337,78,0,2466.0
2023-01-01 03:00:00,106,0,20,0,126.0
2023-01-01 04:00:00,156,0,88,0,244.0
2023-01-01 05:00:00,121,1424,35,0,1580.0
2023-01-01 06:00:00,155,1414,83,0,1652.0
2023-01-01 07:00:00,145,0,0,0,145.0
2023-01-01 08:00:00,146,0,0,868,1014.0
2023-01-01 09:00:00,145,0,0,0,145.0
2023-01-01 10:00:00,0,0,96,0,96.0
2023-01-01 11:00:00,166,0,0,917,1083.0
2023-01-01 12:00:00,182,0,0,0,182.0
2023-01-01 13:00:00,134,0,0,0,134.0
2023-01-01 14:00:00,0,0,0,0,0.0
2023-01-01 15:00:00,0,0,0,0,0.0
2023-01-01 16:00:00,0,0,0,0,0.0
2023-01-01 17:00:00,0,0,0,0,0.0
2023-01-01 18:00:00,0,0,56,0,56.0
2023-01-01 19:00:00,64,0,61,0,125.0
2023-01-01 20:00:00,67,0,59,0,126.0
2023-01-01 21:00:00,59,0,34,0,93.0
2023-01-01 22:00:00,112,0,29,0,141.0
2023-01-01 23:00:00,192,0,37,0,229.0
2023-01-02 00:00:00,93,0,85,0,178.0
2023-01-02 01:00:00,74,0,88,0,162.0
2023-01-02 02:00:00,0,1045,0,0,1045.0
2023-01-02 03:00:00,95,0,84,0,179.0
2023-01-02 04:00:00,0,0,56,0,56.0
2023-01-02 05:00:00,0,0,36,0,36.0
2023-01-02 06:00:00,173,0,80,0,253.0
2023-01-02 07:00:00,192,0,0,0,192.0
2023-01-02 08:00:00,191,2203,0,0,2394.0
2023-01-02 09:00:00,111,0,0,0,111.0
2023-01-02 10:00:00,113,0,0,0,113.0
2023-01-02 11:00:00,86,0,0,0,86.0
2023-01-02 12:00:00,0,0,0,0,0.0
2023-01-02 13:00:00,102,0,0,0,102.0
2023-01-02 14:00:00,196,0,0,0,196.0
2023-01-02 15:00:00,154,0,0,0,154.0
2023-01-02 16:00:00,128,0,0,0,128.0
2023-01-02 17:00:00,83,2450,0,0,2533.0
2023-01-02 18:00:00,160,0,42,0,202.0
2023-01-02 19:00:00,0,0,0,0,0.0
2023-01-02 20:00:00,60,0,49,0,109.0
2023-01-02 21:00:00,176,2077,30,0,2283.0
2023-01-02 22:00:00,0,0,20,820,840.0
2023-01-02 23:00:00,0,0,69,0,69.0
2023-01-03 00:00:00,109,0,96,0,205.0
