timestamp,fridge,ac,lights,microwave,total_power
2023-01-01 00:00:00,119,0,73,0,192
2023-01-01 01:00:00,134,0,0,0,134
2023-01-01 02:00:00,0,1551,73,0,1624
2023-01-01 03:00:00,0,0,66,0,66
2023-01-01 04:00:00,83,0,86,0,169
2023-01-01 05:00:00,0,0,49,0,49
2023-01-01 06:00:00,0,0,0,1125,1125
2023-01-01 07:00:00,125,0,0,0,125
2023-01-01 08:00:00,0,1894,0,804,2698
2023-01-01 09:00:00,58,0,93,0,151
2023-01-01 10:00:00,0,0,0,0,0
2023-01-01 11:00:00,134,0,0,896,1030
2023-01-01 12:00:00,99,0,0,0,99
2023-01-01 13:00:00,0,0,0,0,0
2023-01-01 14:00:00,74,1699,0,0,1773
2023-01-01 15:00:00,98,0,0,0,98
2023-01-01 16:00:00,85,0,0,0,85
2023-01-01 17:00:00,147,0,0,0,147
2023-01-01 18:00:00,81,0,64,1002,1147
2023-01-01 19:00:00,134,0,83,0,217
2023-01-01 20:00:00,60,0,64,0,124
2023-01-01 21:00:00,0,0,91,0,91
2023-01-01 22:00:00,149,0,85,0,234
2023-01-01 23:00:00,146,1604,36,0,1786
2023-01-02 00:00:00,76,0,81,0,157
2023-01-02 01:00:00,131,0,0,0,131
2023-01-02 02:00:00,80,0,69,0,149
2023-01-02 03:00:00,0,0,31,0,31
2023-01-02 04:00:00,144,0,28,0,172
2023-01-02 05:00:00,0,0,92,0,92
2023-01-02 06:00:00,0,0,33,0,33
2023-01-02 07:00:00,80,0,0,846,926
2023-01-02 08:00:00,0,0,0,0,0
2023-01-02 09:00:00,93,0,0,801,894
2023-01-02 10:00:00,129,1684,0,0,1813
2023-01-02 11:00:00,109,0,0,0,109
2023-01-02 12:00:00,69,0,0,0,69
2023-01-02 13:00:00,103,0,42,0,145
2023-01-02 14:00:00,0,0,0,0,0
2023-01-02 15:00:00,0,0,0,0,0
2023-01-02 16:00:00,128,0,0,0,128
2023-01-02 17:00:00,0,0,0,0,0
2023-01-02 18:00:00,159,0,27,0,186
2023-01-02 19:00:00,192,0,39,0,231
2023-01-02 20:00:00,0,0,75,1137,1212
2023-01-02 21:00:00,0,0,76,0,76
2023-01-02 22:00:00,136,0,49,0,185
2023-01-02 23:00:00,69,1611,79,970,2729
2023-01-03 00:00:00,0,0,45,0,45
2023-01-03 01:00:00,160,0,40,0,200
2023-01-03 02:00:00,90,1212,84,0,1386
2023-01-03 03:00:00,0,0,72,0,72
2023-01-03 04:00:00,0,0,42,0,42
2023-01-03 05:00:00,0,0,0,0,0
2023-01-03 06:00:00,74,0,98,0,172
2023-01-03 07:00:00,194,0,0,1190,1384
2023-01-03 08:00:00,181,0,82,0,263
2023-01-03 09:00:00,182,0,44,971,1197
2023-01-03 10:00:00,154,0,0,0,154
2023-01-03 11:00:00,192,0,0,1186,1378
2023-01-03 12:00:00,0,0,0,0,0
2023-01-03 13:00:00,118,1811,0,0,1929
2023-01-03 14:00:00,126,0,0,0,126
2023-01-03 15:00:00,144,0,0,0,144
2023-01-03 16:00:00,180,0,0,0,180
2023-01-03 17:00:00,110,0,0,0,110
2023-01-03 18:00:00,109,0,76,0,185
2023-01-03 19:00:00,0,0,0,0,0
2023-01-03 20:00:00,126,0,68,0,194
2023-01-03 21:00:00,50,0,41,0,91
2023-01-03 22:00:00,76,0,75,0,151
2023-01-03 23:00:00,0,0,61,0,61
2023-01-04 00:00:00,0,0,26,0,26
2023-01-04 01:00:00,0,0,0,0,0
2023-01-04 02:00:00,125,0,91,0,216
2023-01-04 03:00:00,99,0,0,0,99
2023-01-04 04:00:00,0,1412,53,832,2297
2023-01-04 05:00:00,192,0,47,0,239
2023-01-04 06:00:00,82,1239,97,0,1418
2023-01-04 07:00:00,178,0,0,0,178
2023-01-04 08:00:00,0,0,0,0,0
2023-01-04 09:00:00,91,0,0,0,91
2023-01-04 10:00:00,78,0,0,0,78
2023-01-04 11:00:00,139,0,0,0,139
2023-01-04 12:00:00,68,0,92,1080,1240
2023-01-04 13:00:00,0,0,0,0,0
2023-01-04 14:00:00,0,1096,0,0,1096
2023-01-04 15:00:00,180,1091,0,0,1271
2023-01-04 16:00:00,88,1383,0,0,1471
